"Month";"??ey";"Akureyri";"Dalatangi";"Gr?mssta?ir";"Keflav?k airport";"Kirkjub?jarklaustur";"Reykjav?k";"St?rh?f?i Westman Islands";"Stykkish?lmur"
"1966-10";8.1;10.4;32.9;7.2;22.5;25.6;17.5;12.5;13.2
"1966-11";12.4;9.3;17.5;7.3;35.7;42;12.9;36.9;16
"1966-12";28.3;9.9;11.2;5.2;11.3;20.1;6.9;45.6;7.2
"1967-01";9;5.9;51.1;5.4;21.6;62.9;12.1;23.4;22.6
"1967-02";8.8;12.9;40.4;4.9;10;15.5;11.5;15.8;9.6
"1967-03";11;13.5;17;5.3;14.5;32.9;9;22.2;10.4
"1967-04";7;7.1;13.1;3.1;12.8;26.2;10.4;14.9;13.1
"1967-05";3.1;5.9;78.3;5.5;19.9;15.3;15.8;21.2;7.6
"1967-06";5.5;4.3;26.3;11;12.9;29.9;9.4;20.3;14.7
"1967-07";12.6;15.1;60.7;16.4;13.6;22.8;21.5;12.6;17.2
"1967-08";10.8;6.2;13.9;5.5;26;27.1;18.5;16.8;31.8
"1967-09";14.5;4.1;12.4;9.8;27.7;21.9;40.9;14.2;25.5
"1967-10";13.6;30.2;37.4;10.3;10.4;29.4;15.6;16.3;14.6
"1967-11";12.7;8.8;9.3;6.2;22.3;16.6;16.1;33.8;13.8
"1967-12";13.7;10.1;26.8;5.3;27.3;37.1;44.7;45.4;25.4
"1968-01";8;10.2;11.9;4.5;11.2;19.3;8.7;46.6;7.5
"1968-02";18.1;7.8;19.1;2.2;32.2;56.6;37.8;14.2;40.8
"1968-03";5.4;20.9;10.6;8.5;17.1;14.9;21;62;9.4
"1968-04";8.8;10.7;26.1;5;25.8;27.3;8.5;18.4;23.5
"1968-05";0.8;2.4;8.9;3.8;15;26.5;6.5;22.5;7.5
"1968-06";3.1;14.8;35;5.5;12.2;36.1;13.1;17.3;6.4
"1968-07";2.3;6.4;39.2;10.2;7.7;29.7;6.6;10.8;9
"1968-08";62.8;6.9;28.1;19;25;44.2;10.1;48.2;18.3
"1968-09";9.7;3.5;27.4;5;14.2;26.3;11.1;32.2;18.3
"1968-10";3;8.3;38.5;4;10;20.7;10.6;23.9;3
"1968-11";15.5;9.6;87.4;5.9;13.2;94.9;13;28;17.4
"1968-12";9.3;6;24.9;5.2;32.1;18.4;16.8;23.3;19.8
"1969-01";9.9;7.5;27;4.2;11.6;6.9;14.8;26.9;7.6
"1969-02";6.3;14.6;15.7;10;12.5;30;13.2;40.2;10.7
"1969-03";10.5;9.9;9.5;5;37.8;38.8;28.6;9.9;26.2
"1969-04";10.4;6.8;9.9;4;16.2;28.2;12.2;26.1;31
"1969-05";0.4;1.4;6.9;1.5;10.5;22;10.2;22.7;9.6
"1969-06";8.2;6.4;42.8;12;20.4;35.4;21.3;71.1;11.8
"1969-07";5.4;14.1;31.2;16;23.5;27.2;16.3;27.3;12
